noun;joy;sadness;anger;disgust;fear;trust;surprise;anticipation;valence;arousal;dominance;valence_2;intensity;duration;joy_binary;sadness_binary;anger_binary;disgust_binary;fear_binary;trust_binary;surprise_binary;anticipation_binary
ansia;0.04;0.75;0.58;0.29;0.91;0.16;0.54;0.58;3;7.66;3.66;-3.55;6.98;5.68;0;1;1;0;1;0;1;1
terrore;0;0.5;0.5;0.58;0.87;0;0.2;0.08;2.16;7.33;2.83;-3.98;6.78;3.45;0;0;0;1;1;0;0;0
orgoglio;0.66;0.04;0.16;0.08;0;0.66;0.33;0.75;6.33;6.16;6.5;1.85;7.38;7.26;1;0;0;0;0;1;0;1
orrore;0;0.2;0.16;0.41;0.83;0;0.29;0.04;3;7.5;3;-3.88;6.24;3.32;0;0;0;0;1;0;0;0
calma;0.58;0.16;0;0;0.04;0.66;0.12;0.37;7.83;3.16;6.33;3.36;5.09;6.73;1;0;0;0;0;1;0;0
pietà ;0;0.45;0.04;0.16;0;0.04;0;0.04;4.5;4.66;5.66;-1.62;5.63;5.28;0;0;0;0;0;0;0;0
meraviglia;0.91;0.04;0.04;0;0.12;0.41;1;0.45;6.33;6.66;5.88;3.1;6.19;4.38;1;0;0;0;0;0;1;0
vergogna;0;0.71;0.45;0.58;0.66;0.04;0.04;0.08;1.5;6.33;2.5;-3.45;6.23;5.22;0;1;0;1;1;0;0;0
fastidio;0;0.54;0.54;0.29;0.41;0;0.16;0.16;3.5;5.83;4.66;-2.66;5.67;4.91;0;1;1;0;0;0;0;0
simpatia;0.95;0;0;0;0.04;0.7;0.37;0.58;8.16;2.83;5.33;3.79;6.96;8.38;1;0;0;0;0;1;0;1
agio;0.83;0.12;0.04;0.12;0.16;0.83;0.16;0.59;7;3;4.5;;;;1;0;0;0;0;1;0;1
angoscia;0;0.79;0.66;0.45;0.79;0.04;0.04;0.16;1.83;8;2.33;-4.23;7.15;5.39;0;1;1;0;1;0;0;0
indifferenza;0;0.66;0.75;0.16;0.45;0.08;0;0.29;3.33;7.16;4.16;-2.09;4.04;5.21;0;1;1;0;0;0;0;0
schifo;0;0.04;0.25;1;0;0;0.16;0;2.33;6.16;4.33;;;;0;0;0;1;0;0;0;0
nostalgia;0.29;0.87;0.08;0;0.08;0.16;0.04;0.25;5.5;5.5;5.33;-1.52;6.84;6.85;0;1;0;0;0;0;0;0
ira;0;0.54;1;0.41;0.41;0.16;0.25;0.16;2.83;7.83;5;;;;0;1;1;0;0;0;0;0
stupore;0.41;0.2;0.2;0.2;0.41;0.33;1;0.62;5.33;7.16;5.5;1.98;5.81;3.82;0;0;0;0;0;0;1;1
panico;0;0.58;0.54;0.33;1;0;0.7;0.08;1.16;8;2.16;-4.15;7.38;4.01;0;1;1;0;1;0;1;0
noia;0.04;0.7;0.08;0.2;0.08;0.04;0.16;0.29;2.16;2.83;3.83;-3.29;4.97;5.81;0;1;0;0;0;0;0;0
furia;0.04;0.12;0.91;0.16;0.7;0;0.37;0.16;5;5.6;6;-2.42;6.75;3.81;0;0;1;0;1;0;0;0
invidia;0;0.45;0.7;0.58;0.37;0.04;0.16;0.29;2.5;5.6;4.33;-3.33;5.5;4.45;0;0;1;1;0;0;0;0
diffidenza;;;;;;;;;;;;;;;;;;;;;;
malinconia;0;0.7;0.08;0.04;0.2;0.08;0.08;0.08;3.16;5.33;4;-1.96;6.1;6.37;0;1;0;0;0;0;0;0
inquietudine;;;;;;;;;;;;-2.78;6.26;5.69;;;;;;;;
shock;0.04;0.16;0.2;0.2;0.87;0;0.66;0.08;4.66;7.66;5;-3.26;5.47;5.39;0;0;0;0;1;0;1;0
tormento;0;0.7;0.83;0.25;0.83;0.04;0.04;0.08;2.83;6.5;4.16;-3.75;6.73;5.25;0;1;1;0;1;0;0;0
nausea;0;0.41;0.08;0.79;0.33;0.04;0.04;0.04;1.83;5.83;3.16;-3.56;5.75;4.66;0;0;0;1;0;0;0;0
rancore;0;0.66;0.62;0.5;0.25;0;0;0;3.33;5.83;5.16;-3.5;5.79;5.26;0;1;1;0;0;0;0;0
cordoglio;0.04;0.91;0.58;0.16;0.58;0.12;0.08;0.04;2.16;5.33;3.16;;;;0;1;1;0;1;0;0;0
estasi;0.83;0;0;0;0.04;0.41;0.66;0.75;7.16;7;6.66;3.73;6.75;4.59;1;0;0;0;0;0;1;1
eccitazione;0.7;0.04;0.12;0.12;0.08;0.58;0.41;0.58;6.16;5.83;5.66;3.44;8.53;5.84;1;0;0;0;0;1;0;1
collera;0;0.41;1;0.45;0.29;0;0.25;0.12;2;7.8;5.66;-3.14;7.58;4.73;0;0;1;0;0;0;0;0
avversione;0;0.2;0.45;0.75;0.54;0.16;0.2;0.04;4;5.16;4.83;-2.8;5.65;5.15;0;0;0;1;1;0;0;0
rimorso;0;0.91;0.66;0.33;0.54;0.08;0.04;0.25;1.83;3.33;3.66;-3.68;6.67;5.94;0;1;1;0;1;0;0;0
