docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#186;1376-1532;2_PROSA_BEMBO_PROSE DELLA VOLGAR LINGUA;PROSA;Pietro Bembo;Prose della volgar lingua;1525;toscano;amenda di ciò , non bastando loro le rime che s ' usano , quelle medesime ancora trametteano ne ';mezzi versi;". Taccio qui che Dante una sua canzone nella Vita nuova sonetto nominasse ; perciò che egli più volte poi";non_ev
doc#13;XIII cent.-1375;1_PERS_BOCCACCIO_LETTERE;PERSONALI;Giovanni Boccaccio;Lettere;1339-1374;toscano;commossi , e dinanzi a sé ed a me marcidi e rappresi umori sputare . E non è maraviglia :;mezzi vestiti;quasi tutti di sottilissimi e manicati pannicelli , presso al ginocchio nudi , e disorrevoli e tremanti , scostumati ,;ev
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;vita ? - Venghiamo adesso alla mia partenza . Ho fatto consiglio colla Sig.ra Nanna e con Publio . Due;mezzi vi;sono : o la diligenza di Frosinone , o la vettura . Col primo mezzo eviterei la pessima nottata a;-
doc#366;1692-1840;4_PERS_MAGALOTTI_LETTERE ODOROSE;PERSONALI;Lorenzo Magalotti;Lettere odorose;1693-1705;;vi passarono i primi . Secondo , in che tempo . Terzo , per qual via , e con quai;mezzi vi;si conducessero , non solamente gli uomini e gli animali , ma infino gl ' istessi serpenti e gli altri;-
doc#337;1692-1840;4_ESP_ALFIERI_DELLA TIRANNIDE;ESPOSITIVI;Vittorio Alfieri;Della tirannide;1777;;"durare una vera politica libertà , là dove la disparità delle ricchezze sia eccessiva ; ma che pure , due";mezzi vi;sono per andarla strascinando ( dove ella già fosse allignata ) in mezzo a una tale disparità , ancorchè il;-
doc#485;1841-1947;5_ESP_PISACANE_LA RIVOLUZIONE;ESPOSITIVI;Carlo Pisacane;La rivoluzione;1860;;a discutersi , che il senso comune ed i fatti hanno dichiarato impossibile . Ma ponghiamo che i popoli con;mezzi violenti;e più stabili che nel quarantotto costringessero i principi a scendere nell ' agone : quale speranza potrebbe porsi in;-
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;, che è un ritorno di alcuni individui , la cui costituzione fisiologica e psicologica è morbosa , ha dei;mezzi violenti;di lotta per l ' esistenza che la civiltà ormai ha soppresso : l ' omicidio , il furto e;-
doc#490;1841-1947;5_PERS_CARACCIOLO_MISTERI DEL CHIOSTRO NAPOLETANO;PERSONALI;Enrichetta Caracciolo;Misteri del chiostro napoletano;1864;;manicomio , essendo quella pazzia , per la forte complessione della sofferente , di quella tale classe , che senza;mezzi violenti;non si frena . Tranquillatami su di questo argomento , scrissi tosto al generale una lettera di ringraziamento . Il;-
doc#143;1376-1532;2_POES_BERNI_RIME;POESIA;Francesco Berni;Rime;XVI;toscano;la tua Cinzia aveva io quivi ! Er ' io un torso di pera diventato o un di questi bachi;mezzi vivi;che di formiche adosso abbia un mercato , tante bocche mi avevan , tanti denti trafitto , punto , morso;ev
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;che gli alberi , i frutici e l ' erbe possano produrre animaletti di tal natura che sovente si trovino;mezzi vivi;e mezzi di legno , e per ancora in tutto il corpo non finiti d ' animarsi : e quantunque;ev
doc#501;1841-1947;5_PERS_TANINI_LA VITA DI GIULIO PANE;PERSONALI;Giulio Tanini;La vita di Giulio Pane;1922;;' cameroni spiritato , ora mettendo le mani nel catino che bolliva , ora ne ' mesciacqua delle camere ,;mezzi vuoti;perchè fino all ' indomani non li riempiva . Come Dio volle , alle sette sento sonare il campanello :;ev
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;rivolte , d ' infiammarle tra l ' acque ebbe possanza , onde nel vivo e lucido cristallo rotto nel;mezzo abbandonaro;il ballo . Come stella nel mar divelta cade 74 dal ' azzurro seren del cielo estivo o qual strisciando;-
doc#417;1692-1840;4_PROSA_MANZONI_FERMO E LUCIA;PROSA;Alessandro Manzoni;Fermo e Lucia;1821;;occulta società di atroci consigli e di funeste faccende , poichè videro le faccende già accordate e avviate rimanersi a;mezzo abbandonate;da lui , s ' apposero tosto ch ' egli aveva cangiato vita , nè poterono disconoscere l ' autore;ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;violenza o opporgli qualche impedimento . SIMP . Non si può dubitare che l ' istesso mobile nell ' istesso;mezzo abbia;una statuita e da natura determinata velocità , la quale non se gli possa accrescere se non con nuovo impeto;-
doc#566;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-1;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte prima);1863;;. Dacchè , questa rotazione lunare si fa parallelamente ad un piano inclinato sull ' eclittica di un grado e;mezzo abbondante;, o più esattamente di 1 - , 30 ' , 11 . Di altrettanto dunque l ' asse ,;-
doc#430;1692-1840;4_SCIENT_ROLANDO_SAGGIO SOPRA LA VERA STRUTTURA DEL CERVELLO UMANO;SCIENTIFICI;Luigi Rolando;Saggio sopra la vera struttura del cervello dell'uomo e degli animali;1828;;si vedono fili di sostanza midollare , l ' ultimo si estende verso il midollo oblongato , e quel di;mezzo abbracciando;le gambe del cervello concorre a formare quella protuberanza anullare , detta ponte di Varolio . Il cervelletto forma sopra;-
doc#418;1692-1840;4_PROSA_MANZONI_PROMESSI SPOSI40;PROSA;Alessandro Manzoni;Promessi sposi (quarantana);1840;;". L ' uomo del fascio lo buttò su quel mucchio ; un altro , con un mozzicone di pala";mezzo abbruciacchiato;", sbracia il fuoco : il fumo cresce e s ' addensa ; la fiamma si ridesta ; con essa";ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;"cremonese per accostarsi al fiume dell ' Oglio ; al quale pervenne in quattro alloggiamenti ; non essendo in questo";mezzo accaduta;cosa alcuna di momento , eccetto che , mentre alloggiavano alla villa che si dice la Corte de ' Frati;-
doc#372;1692-1840;4_POES_BERCHET_BALLATE E ROMANZE;POESIA;Giovanni Berchet;Ballate e romanze;XIX;;sguajatamente male . Alcuni anni fa avrei dovuto prevedere e combattere più di proposito un ' altr ' accusa già;mezzo accennata;qui sopra . Ma sarebbe adesso fin anche soperchieria il menar colpi contro di una moribonda , voglio dire la;ev
doc#373;1692-1840;4_POES_BERCHET_POESIE POLITICHE E ROMANZE;POESIA;Giovanni Berchet;Poesie politiche e romanze;XIX;;sguaiatamente male . Alcuni anni fa avrei dovuto prevedere e combattere più di proposito un ' altr ' accusa già;mezzo accennata;qui sopra . Ma sarebbe adesso fin anche soperchieria il menar colpi contro di una moribonda : voglio dire la;ev
doc#565;1841-1947;5_SCIENT_PARETO_MANUALE DI ECONOMIA POLITICA;SCIENTIFICI;Vilfredo Pareto;Manuale di economia politica;1919;;' economia politica che verrebbe in aiuto alla matematica . Se cioè fossero veramente conosciute tutte quelle equazioni , unico;mezzo accessibile;alle forze umane per risolverle sarebbe di osservare la soluzione pratica data dal mercato mediante certe quantità e certi prezzi;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;gli lancia . Ed oltracciò fra l ' indice e ' l mezzano 136 per beffa il primo dito in;mezzo accolto;, stendendo verso lui la destra mano , gli dice : - Or togli ! - e sputagli insu ';-
doc#502;1841-1947;5_PERS_TOZZI_NOVALE;PERSONALI;Federigo Tozzi;Novale;1925;;non urtare ne ' macigni . Il lume mi batteva su le ginocchia . Vidi sei operai che cercavano un;mezzo acconcio;a far saltare in aria una grossa porzione di minerale . Il sorvegliante che era con me dette loro alcuni;-
doc#560;1841-1947;5_PROSA_VERGA_NOVELLE RUSTICANE;PROSA;Giovanni Verga;Novelle rusticane;1883;;"elezione di provinciale ; il padre Battistino , un servo di Dio robusto come un mulattiere , l ' avevano";mezzo accoppato;, e padre Giammaria , il guardiano , ci aveva rimesso tutta la dentatura . Il Reverendo , lui ,;ev
doc#366;1692-1840;4_PERS_MAGALOTTI_LETTERE ODOROSE;PERSONALI;Lorenzo Magalotti;Lettere odorose;1693-1705;;farci l ' astuta , come avrebbe fatto qualchedun ' altra con dire : ' Me n ' ero ben;mezzo accorta;"' , ma mi confessò ingenuamente che né meno per ombra ; benché ci avesse osservato una certa ricchezza da";ev
doc#337;1692-1840;4_ESP_ALFIERI_DELLA TIRANNIDE;ESPOSITIVI;Vittorio Alfieri;Della tirannide;1777;;potere , del nuocere con impunità ? E si noti di più , che costui potrebbe con un tal nobile;mezzo acquistare;a sè stesso , in vece di quell ' infame illimitato potere di nuocere ch ' egli avrebbe distrutto ,;-
doc#331;1533-1691;3_TEATRO_GUARINI_PASTOR FIDO;TEATRO;Battista Guarini;Pastor Fido;1590;;meglio ch ' io serbi il cane in disparte : io farò forse de l ' amor suo con questo;mezzo acquisto;. Lupino ! LUPINO Eccomi . DORINDA Va ' con questo cane , e ti nascondi in quella fratta .;ev
doc#398;1692-1840;4_POES_PARINI_GIORNO;POESIA;Giuseppe Parini;Il giorno (seconda redazione);1763;;"; a lei converso Scenda il duttile collo ; a i lati un poco Stringansi i labbri ; ver lo";mezzo acuti;"Escano alquanto ; e da la bocca poi , Compendiata in forma tal , sen fugga Un non inteso mormorio";-
doc#159;1376-1532;2_POES_DE MEDICI_CANZONIERE;POESIA;Lorenzo de' Medici;Canzoniere;XV;toscano;dura vita perigliosa e ria . E , come quasi perde ciascun senso chi un venenoso angue passando calca in;mezzo ad;"una via ; che poi via più che pria teme , già sendo del pericol fore , non conoscendo il";-
doc#504;1841-1947;5_POES_ALEARDI_POESIE;POESIA;Aleardo Aleardi;Poesie;1860;;"del ciel per gl ' inquïeti azzurri Una corrusca nuvola , simíle A riflesso d ' incendio ; e in";mezzo ad;essa Azzuffarsi due croci , e quella greca Trïonfar la latina . Ed una voce Mi uscía dal core ,;-
doc#498;1841-1947;5_PERS_GUERRINI_BRANI DI VITA;PERSONALI;Olindo Guerrini;Brani di vita;1908;;la natura quasi selvaggia , deserta , rude , e sentirete che una salita sopra ai mille metri , in;mezzo ad;una nube grigia e densa , deve fare un certo effetto . Sull ' ultima vetta , là dove l;-
doc#408;1692-1840;4_PROSA_CANTU_MARGHERITA PUSTERLA;PROSA;Cesare Cantù;Margherita Pusterla;1838;;pochi giorni dopo parve gliene nascesse favorevole occasione . Era di guardia ad un gabinetto di piacere , posto in;mezzo ad;"artificioso boschetto nel parco di Belgiojoso , delizia dei Visconti ; e guardando attraverso al graticolato della gelosia , che";-
doc#547;1841-1947;5_PROSA_D'ANNUNZIO_NOVELLE DELLA PESCARA;PROSA;Gabriele D'annunzio;Le novelle della Pescara;1902;;la voce del lettore pareva addolcirsi di accenti novelli , ascoltava con visibile assiduità . La testuggine si traeva in;mezzo ad;"alcune foglie di lattuga , pianamente ; il sole su la finestra illuminava una gran tela di ragno , e";-
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;pagnottelle della grandezza di una mela comune per farle ripiene . Raspatene leggermente la corteccia colla grattugia e fate in;mezzo ad;ognuna un tassello rotondo della dimensione di una moneta da 10 centesimi . Vuotatele del midollo lasciando le pareti all;-
doc#431;1692-1840;4_SCIENT_SCINA_DELLA FISICA PARTICOLARE;SCIENTIFICI;Domenico Scinà;Elementi di fisica particolare;1829;;"della loro rifrangibilità . E sebbene si conservino costanti nello stesso mezzo ; pure se i raggi passano da un";mezzo ad;un altro , vengono a cangiare . Newton di fatto dimostrò che quando passano perpendicolarmente da un mezzo ad un;-
doc#368;1692-1840;4_PERS_VERRI_DIARIO MILITARE;PERSONALI;Pietro Verri;Diario militare;1759-60;;un corpo d ' ufficiali . Lascy è assai sprezzante , ma ha buone qualità . Lloyd viene ricevuto in;mezzo ad;un circolo di ufficiali , e presenta le sue lettere , Lascy le legge , e poi gli dice che;-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;etnico sembra a prima vista preponderante . Così si cita l ' esempio degli Ebrei , che , sparsi in;mezzo ad;altri popoli , hanno per secoli e secoli maravigliosamente conservato il loro tipo nazionale . Ma bisogna appunto tener presente;-
doc#411;1692-1840;4_PROSA_D'AZEGLIO_ETTORE FIERAMOSCA;PROSA;Massimo D'Azeglio;Ettore Fieramosca;1833;;"mirando l ' assetto di quelle genti che correvano sulla loro via per sapere a che venissero ; ed in";mezzo ad;una folla di soldati sboccarono su una piazza formata da molti padiglioni disposti in giro , nel centro del quali;-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;nati e cresciuti83 . III . — Nei primordi della storia ogni popolo civile era quasi un ' oasi in;mezzo ad;un deserto di barbarie , le diverse civiltà aveano perciò fra di loro o scarsissime comunicazioni o queste mancavano in;-
doc#429;1692-1840;4_SCIENT_GALIANI_DELLA MONETA;SCIENTIFICI;Ferdinando Galiani;Della moneta;1751;;"alzamento sì grande ; ed aveano sempre promesso ed osservato , ritornata la pace , rivocarlo . Ma che in";mezzo ad;una profonda pace dopo la stanchezza di una guerra crudelissima e perigliosa , era colpo troppo acerbo e crudele );-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;seno di una società relativamente incivilita dei tipi morali dell ' epoca della pietra , ovvero dei tipi eroici in;mezzo ad;"una civiltà mercantile "" . Ci pare che questi brani bastino per avere un ' idea abbastanza precisa e coscienziosa";-
doc#342;1692-1840;4_ESP_CARMIGNANI_UNA LEZIONE ACCADEMICA SULLA PENA DI MORTE;ESPOSITIVI;Giovanni Carmignani;Una lezione accademica sulla pena di morte;1836;;un uomo , il quale è ridotto alla impotenza di nuocere , l ' uso della pena di morte in;mezzo ad;un popolo di questa tempra o distruggerà , o diminuirà il salutare ascendente delle generose passioni , ed aumenterà la;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;geniali , ma son quelle maggiormente ricche di genï . Pare che la natura si diverta a creare , in;mezzo ad;un popolo di nani , dei giganti . E come potrebbe non esser così , se il genio è una;-
doc#562;1841-1947;5_SCIENT_BLASERNA_LA TEORIA DEL SUONO;SCIENTIFICI;Pietro Blaserna;La teoria del suono nei suoi rapporti colla musica;1875;;dallo stesso lato . Questi sono attaccati al medesimo albero k e girano quindi insieme colla stessa velocità . Fra;mezzo ad;essi trovasi il solito contatore in k [ non rappresentato nella figura ] destinato a misurare il numero dei giri;-
doc#337;1692-1840;4_ESP_ALFIERI_DELLA TIRANNIDE;ESPOSITIVI;Vittorio Alfieri;Della tirannide;1777;;raggiri , e doppiezze , e iniquità moltissime , per competere e soverchiare i tanti altri concorrenti per lo stesso;mezzo ad;una cosa stessa . E quanto asserisco , mi sarà facile il provar con esempj . Erano già molto corrotti;-
doc#570;1841-1947;5_TEATRO_BOITO_MEFISTOFELE;TEATRO;Arrigo Boito;Mefistofele;1868;;. . . . . . MEFISTOFELE ( esorcizzando verso l ' alcova , da dove appariscono le Sirene in;mezzo ad;una luce calda ) Odi il canto d ' amor ! Vieni a inebbriar le vene Sul sen delle sirene!FALANGI;-
doc#365;1692-1840;4_PERS_LEOPARDI_EPISTOLARIO;PERSONALI;Giacomo Leopardi;Epistolario;1810-1837;;universale . Eppure questa è l ' unica ambizione a cui voi certamente aspirerete : e come vi trovereste in;mezzo ad;essi ? non vedete dalle stesse loro produzioni quanto sieno nemici uno dell ' altro ? Credetemi , Amico mio;-
doc#417;1692-1840;4_PROSA_MANZONI_FERMO E LUCIA;PROSA;Alessandro Manzoni;Fermo e Lucia;1821;;, si rimase come confuso , e vergognoso quando si trovò così solo con tutte le sue buone ragioni in;mezzo ad;un crocchio romoroso e indisciplinato di amici di Don Rodrigo , e in sua presenza . Era questi in capo;-
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;artista . ( * ) A questo proposito confesso che , sebbene io facessi vita artistica e per conseguenza in;mezzo ad;artisti , non ho mai legato vera amicizia che con un piccolissimo numero di loro . I costumi ( anche;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;un ' eco triste e dolorosa . Ma un estetismo così esteriore , sotto un cielo di fuoco , di;mezzo ad;una razza di nudità non velata , di bellezza meravigliosa , col cuore e con i sensi fortemente accensibili ,;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;. Carlo Marx è un capo , quale può fiorire in un secolo di critica , di studio e in;mezzo ad;"un partito fortemente scientifico . Ecco come l ' Aveling ne scrivea sul Devenir social : "" Marx era uno";-
doc#374;1692-1840;4_POES_CESAROTTI_POESIE DI OSSIAN;POESIA;Melchiorre Cesarotti;Poesie di Ossian;1760;;"innanzi L ' occhio del Re l ' asta sollevi ? ingombra Nebbia colà quei quattro poggi oscuri ; Per";mezzo ad;"essa ogni guerrier colpisca Lo scudo ; forse entro quel buio i spirti Scender potriano , e destinarci al campo";-
doc#417;1692-1840;4_PROSA_MANZONI_FERMO E LUCIA;PROSA;Alessandro Manzoni;Fermo e Lucia;1821;;e per assicurarsi , egli dovette crescere il numero de ' suoi bravi , e non camminar mai che in;mezzo ad;un drappello . Suo padre aveva non solo nel paese , ma altrove amici assai , e conformi a lui;-
doc#408;1692-1840;4_PROSA_CANTU_MARGHERITA PUSTERLA;PROSA;Cesare Cantù;Margherita Pusterla;1838;;Poco tardarono dunque a formare tema di discussione il podestà ed il capitano di giustizia , collocati vicino e in;mezzo ad;altri giureconsulti . Dei cui discorsi avvedutosi , Luchino volse la parola a Lucio , e — Voi ( gli;-
doc#472;1841-1947;5_ESP_BALBO_DELLE SPERANZE D'ITALIA;ESPOSITIVI;Cesare Balbo;Delle speranze d'Italia;1845;;tutt ' opposto : lasciarsi dividere la penisola in una moltitudine di tanti stati popolari , quanti ne risultassero di;mezzo ad;una sollevazione d ' Italia . Fu sogno di coloro che il buono e sincero sognatore Carlo Botta[7] chiama gli;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;uomo , con il quale comincia l ' elevamento continuato dell ' altruismo . Messo , in fatti , in;mezzo ad;un ambiente o indifferente od ostile , à dovuto sentire il bisogno di stringersi forte con i suoi simili ,;-
doc#408;1692-1840;4_PROSA_CANTU_MARGHERITA PUSTERLA;PROSA;Cesare Cantù;Margherita Pusterla;1838;;, che trae il nome dalla natura sua . Quivi in una deliziosa villetta Franciscolo ritrovò il Petrarca , in;mezzo ad;anticaglie , di cui esso faceva gelosa conserva , e a grandi armadj di noce , ben chiusi a chiave;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;costituisce tutta la tradizione scientifica popolare . Tal ' è la psiche popolare , nella sua forma statica , in;mezzo ad;una folla che , per molte condizioni di tempo e di fatti , rimase in uno stadio primitivo ed arretrato;-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;, ma dalla Francia , le Camere fossero annullate ed un Governo provvisorio , i cui membri furono , in;mezzo ad;una folla tumultuante , proclamati al Palazzo Borbone , assumesse , di punto in bianco , la direzione politica della;-
doc#516;1841-1947;5_POES_D'ANNUNZIO_LAUDI;POESIA;Gabriele D'annunzio;Laudi;1903-35;;Mie tutte le città del mio linguaggio , tutte le rive delle mie vestigia . Mando segni e portenti in;mezzo ad;"esse . 48 . Ma in Zara è la forza del mio cuore ; su la Porta Marina sta la";-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;"e , quando ciò avviene , la colpa è quasi sempre del nucleo dirigente ; giacche è quasi sempre in";mezzo ad;esso che prima s ' insinuano l ' indifferentismo e lo scetticismo . La miglior maniera di far credere è;-
doc#488;1841-1947;5_ESP_ROSSI_L'ANIMO DELLA FOLLA;ESPOSITIVI;Pasquale Rossi;L'animo della folla;1898;;, dei giganti . E come potrebbe non esser così , se il genio è una nevrosi , onde di;mezzo ad;una folla , psichicamente , inferiore , si eleva una mostruosità geniale ? La genialità nelle folle vecchie è così;-
doc#368;1692-1840;4_PERS_VERRI_DIARIO MILITARE;PERSONALI;Pietro Verri;Diario militare;1759-60;;li onori di casa . II ministro ancora non v ' era . La padrona di casa sta sedendo in;mezzo ad;"un canapè , intorno v ' è un circolo di dame e credo che osservino il rango della distanza ;";-
doc#551;1841-1947;5_PROSA_FALDELLA_LE FIGURINE;PROSA;Giovanni Faldella;Le figurine;1875;;consolano raffigurandosela dinanzi nella foggia conosciuta , con le incrinature imparate a memoria e con il cucchiaio piantato ritto in;mezzo ad;una minestra consistente . È una tenerezza e una consolazione naturalissima prodotta dal trovarsi in armonia con la propria coscienza;-
doc#500;1841-1947;5_PERS_SETTEMBRINI_RICORDANZE2;PERSONALI;Luigi Settembrini;Ricordanze della mia vita;1879;;fetenti caverne della Vicaria , dove conobbi che i venuti dal castello eravam ventisette : e fummo tutti gettati in;mezzo ad;altri tormentati politici , ed in mezzo ai ladri , ai falsatori , agli omicidi . Io avrei voluto che;-
doc#471;1841-1947;5_ESP_ASTURARO_IL MATERIALISMO STORICO E LA SOCIOLOGIA GENERALE;ESPOSITIVI;Alfonso Asturaro;Il materialismo storico e la sociologia generale;1903;;non è forse già implicito nella stessa proposizione testé formulata che l ' uno e l ' altro servono di;mezzo ad;"un bisogno giuridico ( provvedere alla struttura giuridica , migliorare o completare il diritto esistente ) ; e perciò hanno";-
doc#497;1841-1947;5_PERS_GUERRAZZI_LO ASSEDIO DI ROMA;PERSONALI;Francesco Domenico Guerrazzi;L'assedio di Roma;1863-65;;rimprocci e la speranza inane di coprire con la ferocia nuova la complicità antica gl ' imprigionarono strepitosi , in;mezzo ad;apparecchio eccessivo , e li posero in parte dove non videro più luce : intanto i Veneziani in silenzio avevano;-
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;di carcere colle mani legate da valide funi , che assai conoscean la sua forza , uscì dal castello in;mezzo ad;uomini armati e s ' avviò al suo destino . Né il desolato padre poté ottener pure dal castellano d;-
doc#567;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-2;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte seconda);1863;;di fare le debite conversioni , nè altre molecule o cristallini già costruiti cadano , o comunque si spingano in;mezzo ad;altri non ancora consolidati , e vengano ad intersiarvisi inopportunamente . III . CHIUSA . Se negli esseri organizzati si;-
doc#365;1692-1840;4_PERS_LEOPARDI_EPISTOLARIO;PERSONALI;Giacomo Leopardi;Epistolario;1810-1837;;che ottenendola ve ne troverete prestamente pentito . Voi non desiderate quest ' ufficio per sè stesso , ma come;mezzo ad;occuparvi e di soggiornare in paese migliore di questo . La occupazione del Censo , tutta materiale e servile ,;-
doc#135;1376-1532;2_POES_ARIOSTO_ORLANDO FURIOSO;POESIA;Ludovico Ariosto;Orlando furioso;1532;tosco-emiliano;ito : si tenne Ferraù più presso al monte , dove il sentiero Angelica avea trito . Angelica in quel;mezzo ad;una fonte giunta era , ombrosa e di giocondo sito , ch ' ognun che passa , alle fresche ombre;-
doc#526;1841-1947;5_POES_GRAF_POESIE;POESIA;Arturo Graf;Poesie;1922;;tra sicomori in fiore , Ecco un piccolo tempio di marmo di Carrara : Dieci colonne a cerchio , in;mezzo ad;esse un ' ara , Quattro gradini attorno : è il Tempio dell ' Amore . Con le alucce distese;-
doc#497;1841-1947;5_PERS_GUERRAZZI_LO ASSEDIO DI ROMA;PERSONALI;Francesco Domenico Guerrazzi;L'assedio di Roma;1863-65;;"avventò seguito da pochi ad assaltare il Casino dei Quattro Venti ; la prima volta rimasto solo indietreggiò lento fra";mezzo ad;"una grandine di palle ; poco dopo avendo una granata appreso fuoco al Casino egli volle mettersi da capo alla";-
doc#417;1692-1840;4_PROSA_MANZONI_FERMO E LUCIA;PROSA;Alessandro Manzoni;Fermo e Lucia;1821;;Ludovico , col compagno ucciso , e quel che è peggio col nemico ucciso da lui , si trovava in;mezzo ad;una folla che lo stringeva d ' ogni parte . Ma , come è facile da supporre , il favore;-
doc#381;1692-1840;4_POES_LEOPARDI_CANTI;POESIA;Giacomo Leopardi;Canti;1831;;"era la voce e della gente ; Quand ' ella , volta all ' amorosa meta , Si ritrovò nel";mezzo ad;una landa Quanto foss ' altra mai vezzosa e lieta . Spandeva il suo chiaror per ogni banda La sorella;-
doc#564;1841-1947;5_SCIENT_MOSCA_ELEMENTI DI SCIENZA POLITICA;SCIENTIFICI;Gaetano Mosca;Elementi di scienza politica;1896-1923;;, che avvengono i più dolorosi casi di abbandono , nei quali un individuo od una famiglia , soli in;mezzo ad;una moltitudine , possono in qualche caso arrivare a morire letteralmente di fame . 332 Alcune delle misure che molti;-
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;fare , che ( mancando una legge od un istituto apposito che li riguardi ) passano i loro giorni in;mezzo ad;essa , sempre attendendo a ' suoi danni , e senza che alcuno sospetti , pure da lontano , delle;-
doc#367;1692-1840;4_PERS_METASTASIO_LETTERE;PERSONALI;Pietro Metastasio;Lettere;XVIII;;"signora contessa d ' Althann suddetta ; e le ho eseguite nella camera del giardino nostra favorita , ed in";mezzo ad;una numerosa assemblea , e facendo pompa della vostra brevissima lettera . Non so dirvi a qual segno abbia gradito;-
doc#556;1841-1947;5_PROSA_TARCHETTI_FOSCA;PROSA;Iginio Ugo Tarchetti;Fosca;1869;;che mi avvertivano come vi erano esseri che vivevano d ' intorno a me , come io stesso viveva in;mezzo ad;esseri vivi e sensibili . Ho conservato memoria di quei giorni in un diario scritto sotto l ' impressione di;-
doc#325;1533-1691;3_TEATRO_DE DOTTORI_ARISTODEMO;TEATRO;Carlo de' Dottori;Aristodemo;1670;;d ' incontrar la morte , come per forza ha da restar in vita ? Se questa nostra ignobiltà di;mezzo ad;abborrir la conducesse il fine , quanto sarìa Policare infelice ! NUTRICE Della sua lingua è men feroce il core;-
doc#550;1841-1947;5_PROSA_DE ROBERTO_VICERÈ;PROSA;Federico De Roberto;I Vicerè;1894;;gli bisognava frattanto ammobiliar la casetta . E vomitando maledizioni contro i ' piemontesi ' che lo avevano buttato in;mezzo ad;una via , con l ' elemosina d ' una lira e mezza il giorno , chiedeva qualcosa a ciascuno;-
