docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;però , un asino , appartenente agli Albizzi , che urtava un Ricci per via , fu causa di una;mezza battaglia;( Sacchetti , II , 159-160 ) . Osserva Bacone(246 ) che persino delle frasi o risposte vivaci di alcuni;ev
doc#73;XIII cent.-1375;1_PROSA_BOCCACCIO_FILOCOLO;PROSA;Giovanni Boccaccio;Filocolo;1336-38;toscano;apuntate col coltello , né era loro bandiera alcuna , fuori che una di tela assai vile , la quale;mezza bianca;"e mezza vermiglia si mostrava al vento , credo più tosto di pecorino sangue tinta che di colore ; e";ev
doc#521;1841-1947;5_POES_GIUSTI_POESIE;POESIA;Giuseppe Giusti;Poesie;1852;;filastrocca . Coi propri , o scelse , o stette a muso duro , o disse per la strada a;mezza bocca;: — Se vi pare veniteci , ma poi non vi costringo . . . in somma fate voi .;non_ev
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;il tempo in oneste veglie e piacevoli conversazioni . Ed eccotela fare il suo significativo sorriso , e dire a;mezza bocca;quel Caro . Mi sta in testa che Barbaruccia è più allegra delle altre . Quella sua viva mente si;non_ev
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;al corpo , diceva lui . Ai tempi di repubblica , passando Championnet per andare a Napoli ( qualcuno a;mezza bocca;lo lasciava capire ) , pare che egli avesse ottenuto un non so che somigliante alle lettres de marque ,;non_ev
doc#487;1841-1947;5_ESP_RAIBERTI_L'ARTE DI CONVITARE;ESPOSITIVI;Giovanni Raiberti;L'arte di convitare;1929;;da nessuna parte , e il conto è pareggiato . Tutt ' al più , una parola disinvolta , a;mezza bocca;, reciproca , e basta , basta ! Le mille scuse per tanti disturbi , e i mille ringraziamenti per;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;secondo che va la piega degli spicchj , che sono porzioni uguali , e simili di superficie curva di quella;mezza botte;, che si gettasse sopra la medesima stanza quadrata , formandosi così nel Cielo di sotto quattro spigoli incavati per;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;il Cielo di sotto prende la forma arcuata di quella d ' un mezzo cilindro , o d ' una;mezza botte;. Ma perchè questo Cielo , dopo dipinto che sia , dovendosi misurare per soddisfare il Pittor della sua mercede;non_ev
doc#303;1533-1691;3_PROSA_VASARI_VITE;PROSA;Giorgio Vasari;Le Vite de' più eccellenti architetti, pittori, et scultori italiani;1550;;di suo . Perino , fattovi fare i ponti , cominciò l ' opera , e fece nella volta a;mezza botte;, nel mezzo , una storia quando Dio , fatto Adamo , cava de la costa sua Eva sua donna;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;Il Ciel della sua Vela antica è parti quadre poco più di N . 130 . Il Ciel della sua;mezza botte;è parti quadre poco più di N . 157 . Il Ciel del suo Schifo quadrabile alla Romana è parti;non_ev
