docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#421;1692-1840;4_PROSA_TOMMASEO_FEDE E BELLEZZA;PROSA;Niccolò Tommaseo;Fede e bellezza;1840;;e parlava degli anni avvenire . Così passarono tutta la notte : e mentr ' ella s ' addormentava ,;semi aperte;"le labbra ros-seggianti , e con sul pallido viso la pace di persona conso-lata ; Giovanni pensava : "" Dio";ev
doc#557;1841-1947;5_PROSA_TOMMASEO_FEDE E BELLEZZA;PROSA;Niccolò Tommaseo;Fede e bellezza;1842;;e parlava degli anni avvenire . Così passarono tutta la notte : e mentr ' ella s ' addormentava ,;semi aperte;"le labbra rosseggianti , e con sul pallido viso la pace di persona consolata ; Giovanni pensava : "" Dio";ev
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;lo stesso contagio nella parte imbianchita del cadavere , ove si trovano piu ' copiosi e piu ' maturi i;semi appiccaticci;", che nella parte oscura ; e mentre quivi e nell ' interno del perito insetto non esiste piu '";-
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;dal freddo , cuoprendole almeno con un vaso vuoto a rovescio . 9 . Si usi diligenza nel raccogliere i;semi asciugandoli;bene all ' uggia , e riponendoli in luoghi asciutti . Si tronchino con tagliente temperino i rami delle piante;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;letto , cui non riscaldi amor , ch ' entro per l ' onde vivi del suo bel foco i;semi asconde;? Nel mar , nel mare istesso , ove da Teti 238 ebbe la bella madre umida cuna , più;-
doc#282;1533-1691;3_POES_MARINO_RIME BOSCHERECCE;POESIA;Giambattista Marino;Rime boscherecce;1602;;ben , quasi presente , Amor mi mostra : e del mio foco ardente tra le vostre fresche aure i;semi asconde;. Qui di quel lieto dì soave riede la rimembranza : allor che la mia Clori tutta in dono sé;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;il filugello morto dal mal del segno , si imbianca spesso questo ancora per opera egualmente della vegetazione merce ';semi attinti;dall ' aria circostante , o gia ' esistenti nel corpo del morto animale : ma queste muffe che appartengono;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;si vole , tu tanta dea d ' accarezzar t ' ingegna . Con la virtù che da ' tuoi;semi avranno;, figli la terra e pargoleggi l ' anno . Quanto essalan di grato Ibla e Pancaia , 103 quanto;-
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;! Eppure è innegabile che le guerre , se danneggiano le civiltà già rigogliose , spingono a straordinari progressi popoli;semi barbari;: e noi vedremo fra poco tremare l ' Europa per le sconfitte della Cina , che ci farà pagar;ev
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;assai piu ' di questi . Parlandosi poi delle mummie fiorite ossia imbiancate in generale , se i germi o;semi calcicnali;si chiudono in vasi aderenti ancora al morto insetto in cui ebbero l ' esistenza , questo imputridendo , sebbene;-
