docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;La duodecima , con la parallasse di gr . 1.36 m.p . , rende la stella alta meno di 6;semidiametri;: ritirando la parallasse a 20 m.p . , conduce la stella a meno di 30 semidiametri di lontananza :;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;meno di 6 semidiametri : ritirando la parallasse a 20 m.p . , conduce la stella a meno di 30;semidiametri;di lontananza : non basta dunque la correzione di gr . 1.16 m.p . [...] Queste sono le correzioni delle;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;sono le correzioni delle parallasse delle 10 indagini dell ' autore , per ridur la stella in altezza di 32;semidiametri;: [...] Di qui si vede come per ridur la * all ' altezza di 32 semidiametri , bisogna dalla;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;altezza di 32 semidiametri : [...] Di qui si vede come per ridur la * all ' altezza di 32;semidiametri;, bisogna dalla somma delle parallassi 836 detrarne 756 e ridurle a 80 , né anco basta tal correzione .;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;) che quando l ' autore stabilisse di voler ricever per vero sito della stella nuova la distanza di 32;semidiametri;, la correzione dell ' altre sue 10 indagini ( e dico 10 , perché la seconda , essendo assai;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;e dico 10 , perché la seconda , essendo assai ben alta , si riduce all ' altezza di 32;semidiametri;con 2 m.p . di correzione ) , per far che tutte restituissero detta stella in tal distanza , ricercherebbe;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;: dove che per la correzione dell ' altre 10 dell ' autore , per ridurla in altezza di 32;semidiametri;"vi bisogneranno l ' emendazioni di minuti 756 sopra minutii 836 ; cioè bisogna che dalla somma di 836 se";non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;somma di 836 se ne detraggano 756 , a voler che la stella si elevi all ' altezza di 32;semidiametri;, ed anco tal correzione non basta . Le indagini poi , che immediatamente senz ' altra correzione rendon la;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;"O sono in T F , divideremo 15854982 per 100000 ; ne verrà 158 e mezo prossimamente : e tanti";semidiametri;sarà la distanza della stella F dal centro T . E per abbreviar l ' operazione , vedendo noi come;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;I , come sino dell ' angolo I F T , ci dà la distanza cercata T F in tanti;semidiametri;T O . [...] Vedete ora quel che ci danno le osservazioni del Peucero : del quale la distanza inferior;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;"vertice gr . 66.27 m.p . ; dalle quali cose si raccoglie la distanza della stella dal centro quasi 166";semidiametri;. [...] Ecco quel che ci mostra l ' osservazione di Ticone , presa la più favorevole per l ';non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;gr . 62.15 m.p . Ecco qui sotto l ' operazione , e la lontananza della stella dal centro ritrovata;semidiametri;276 9/16 [...] L ' osservazione del Reinoldo , ch ' è la seguente , ci rende la distanza della;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;L ' osservazione del Reinoldo , ch ' è la seguente , ci rende la distanza della stella dal centro;semidiametri;793 . [...] Dalla seguente osservazion del Landgravio si ritrae la distanza della stella dal centro semidiametri 1057 . [...];non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;stella dal centro semidiametri 793 . [...] Dalla seguente osservazion del Landgravio si ritrae la distanza della stella dal centro;semidiametri;1057 . [...] Prese dal Camerario due delle sue osservazioni più favorevoli per l ' autore , si trova la;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;Camerario due delle sue osservazioni più favorevoli per l ' autore , si trova la lontananza della stella dal centro;semidiametri;3143 . [...] L ' osservazione del Munosio non dà parallasse , e però rende la stella nuova tra le;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;che il semidiametro dell ' orbe magno , ch ' è la distanza della Terra al Sole , contenga 1208;semidiametri;"di essa Terra ; secondariamente pongo , con l ' assenso de i medesimi e con la verità , il";non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;"che è ora in effetto ; che è quanto dire che la distanza delle fisse della sesta grandezza sia 2160";semidiametri;dell ' orbe magno . E perché la distanza del Sole dalla Terra contiene di comune assenso 1208 semidiametri di;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;2160 semidiametri dell ' orbe magno . E perché la distanza del Sole dalla Terra contiene di comune assenso 1208;semidiametri;di essa Terra , e la distanza delle fisse ( come si è detto ) 2160 semidiametri dell ' orbe;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;comune assenso 1208 semidiametri di essa Terra , e la distanza delle fisse ( come si è detto ) 2160;semidiametri;dell ' orbe magno , adunque molto maggiore ( cioè quasi il doppio ) e il semidiametro della Terra in;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;grazia , questo computo . SALV . Il computo è facile e brevissimo . Il diametro del Sole è undici;semidiametri;della Terra , ed il diametro dell ' orbe magno contiene , de i medesimi , 2416 , per detto;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;"che si rivolge 36000 volte più tardo ? ; si troverà , la distanza della sfera stellata dovere esser 10800";semidiametri;dell ' orbe magno , che sarebbe 5 volte appunto maggiore di quello che poco fa la calcolammo dovere esser;non_ev
doc#305;1533-1691;3_SCIENT_GALILEI_DIALOGO SOPRA I MASSIMI SISTEMI;SCIENTIFICI;Galileo Galilei;Dialogo sopra i due massimi sistemi del mondo;1632;;lontananza della sfera stellata da Giove e da Marte , quello ce la darebbe 15000 , e questo 27000 ,;semidiametri;dell ' orbe magno , cioè ancora maggior , quello 7 e questo 12 volte , che non ce la;non_ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;noi descriveremo due cerchi concentrici ed insieme uniti , e che da i punti C , B de i lor;semidiametri;siano tirate le tangenti CE , BF , e ad esse per il centro A la parallela AD , intendendo;non_ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;istesso momento , ed esse , scendendo per le circonferenze de ' cerchi descritti da gli spaghi eguali , lor;semidiametri;", passate oltre al perpendicolo , son poi per le medesime strade ritornate indietro ; e reiterando ben cento volte";non_ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;ne ' punti D , F , ma le altre parti o distanze dove son poste le resistenze sono i;semidiametri;de i cerchi DC , EF , perchè i filamenti sparsi per tutte le superficie de i cerchi è come;non_ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;sopra la resistenza del cilindro A secondo amendue le proporzioni de i cerchi EF , DC e de i lor;semidiametri;, o vogliam dir diametri : ma la proporzione de i cerchi è doppia di quella de i diametri :;non_ev
doc#306;1533-1691;3_SCIENT_GALILEI_DISCORSI INTORNO A DUE NUOVE SCIENZE;SCIENTIFICI;Galileo Galilei;Discorsi e dimostrazioni matematiche intorno a due nuove scienze;1638;;"a , b , come centri , descrivo 2 quadranti , eig , elm ; ed essendo che li due";semidiametri;ai , bl sono eguali alli due ae , eb , gli avanzi fi , fl saranno le quantità de;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;"si sublimasse in alto ; sì che , quando ella s ' elevasse tanto che nella sua lontananza comprendesse molti";semidiametri;della Terra , i raggi che da qualsivoglia punto del cielo venissero a noi , pochissimo obliquamente potrebbon segar la;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;cognitus sit , ex suppositione , angulus EDA graduum 60 in triangulo ADE , et praeterea latus AD unius Terrae;semidiametri;", et latus DE semidiametrorum 33 ; si fiat , ut 34 , aggregatum duorum laterum AD , DE ,";non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;per ciò fare egli suppone , la cometa nel suo primo apparire esser stata lontana dalla superficie della Terra 32;semidiametri;terrestri , e che il riguardante sia situato 60 gradi lontano dal punto della superficie della Terra che perpendicolarmente risponde;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;"da quelle dependente , formerà cotal sillogismo : "" Posto che la cometa nel suo apparire fusse stata alta 32";semidiametri;terrestri , e che il riguardante fusse gradi 60 lontano dalla linea del suo moto , la quantità del suo;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;conseguenza vera ) adunque nel tempo delle prime osservazioni la nostra cometa non era in altezza da Terra di 32;semidiametri;", e l ' osservator lontano 60 gradi dalla linea del moto di quella . "" Il che liberamente si";non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;"sconci per quel dell ' avversario , e dice : "" Pongasi che la cometa nel principio fusse alta 32";semidiametri;", e l ' osservatore lontano 60 gradi . "" Ma , signor Lottario mio , se l ' avversario";non_ev
doc#310;1533-1691;3_SCIENT_GALILEI_LE MECHANICHE;SCIENTIFICI;Galileo Galilei;Le mechaniche;1634;;, due circonferenze , BE , AD , simili , e aventi tra di sé l ' istessa proporzione delli;semidiametri;BC , CA , dai quali vengono descritte . Viene adunque ad essere la velocità del moto del grave B;non_ev
doc#310;1533-1691;3_SCIENT_GALILEI_LE MECHANICHE;SCIENTIFICI;Galileo Galilei;Le mechaniche;1634;;C , nei quali le corde pendenti toccano la circonferenza , averemo una libra di braccia eguali , essendo li;semidiametri;"DA , DC eguali , li quali determinano le distanze delle due suspensioni dal centro e sostegno D ; onde";non_ev
doc#310;1533-1691;3_SCIENT_GALILEI_LE MECHANICHE;SCIENTIFICI;Galileo Galilei;Le mechaniche;1634;;sostenuto più e più dalle linee BF , BL . Ma il considerare questo grave discendente , e sostenuto dalli;semidiametri;BF , BL ora meno e ora più , e constretto a caminare per la circonferenza CFL , non è;non_ev
doc#311;1533-1691;3_SCIENT_GALILEI_LE OPERAZIONI DEL COMPASSO GEOMETRICO;SCIENTIFICI;Galileo Galilei;Le operazioni del compasso geometrico;1606;;"ogn ' altra sorte di figura ; e delli cerchi ancora faremo questo medesimo , servendoci delli loro diametri o";semidiametri;come de i lati delle figure rettilinee . E notisi , per le persone più vulgari , che la presente;non_ev
doc#311;1533-1691;3_SCIENT_GALILEI_LE OPERAZIONI DEL COMPASSO GEOMETRICO;SCIENTIFICI;Galileo Galilei;Le operazioni del compasso geometrico;1606;;delli due A , B . E quello che si è assemplificato ne i cerchi per via de i loro;semidiametri;, intendasi esser l ' istesso nelle altre figure simili , operando con uno de i loro dati omologhi .;non_ev
doc#431;1692-1840;4_SCIENT_SCINA_DELLA FISICA PARTICOLARE;SCIENTIFICI;Domenico Scinà;Elementi di fisica particolare;1829;;FG paralella a DB . Sia di fatto AEC l ' asse della lente , e guidati paralelli i due;semidiametri;"AF , BC , si uniscano i punti F , B ; dopo di che cada in B il raggio";non_ev
doc#434;1692-1840;4_SCIENT_TORRICELLI_LEZIONI ACCADEMICHE;SCIENTIFICI;Evangelista Torricelli;Lezioni accademiche;1715;;Regni , ed il fondamento delle Monarchie , non serviva per altro nelle vostre botteghe , fuorche per misurare a;semidiametri;", gli intervalli delle sfere , e l ' adoperavate per pertica delle vostre dimensioni . Povero Alessandro ; con";non_ev
doc#566;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-1;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte prima);1863;;diametro uguale a kilometri 60 mila circa . 12 - . Il primo satellite di Giove dista da questo 6,05;semidiametri;"dell ' equatore gioviale ; il secondo 9,62 ; il terzo 15,35 ; il quarto se ne discosta di ben";non_ev
doc#566;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-1;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte prima);1863;;27 . 13 - . [ vedi figura 053.gif ] Il primo satellite di Saturno è distante dal suo primario;semidiametri;"3,35 di questesso , il secondo ne dista 4,30 ; 5,28 il terzo ; il quarto 6,82 , cioè circa";non_ev
doc#566;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-1;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte prima);1863;;"a 20 il terzo ; a 23 il quarto ; il quinto a 45,5 ; il sesto alla distanza di";semidiametri;91 . 15 - . Il satellite di Nettuno dista dal suo pianeta 392 mila kilometri , ossia circa 13;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;a centro Terrae die 13 Novembris fuisse semidiametrorum eiusdem Terrae 211 tantum , cum Sol ab eodem centro ponatur distare;semidiametris;saltem 1150 , Luna vero semidiametris 60 . De hoc vero nostro , si quis eas observationes inter se contulerit;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;fuisse semidiametrorum eiusdem Terrae 211 tantum , cum Sol ab eodem centro ponatur distare semidiametris saltem 1150 , Luna vero;semidiametris;60 . De hoc vero nostro , si quis eas observationes inter se contulerit quas in Disputatione ab uno ex;non_ev
doc#308;1533-1691;3_SCIENT_GALILEI_IL SAGGIATORE;SCIENTIFICI;Galileo Galilei;Il saggiatore;1623;;v . figura 9 ] Sit enim Terrae globus ABC , Lunae concavum GFH , distans a centro D Terrae;semidiametris;"33 , ex Ptolemaeo ; Tycho enim duplam fere ponit distantiam , quod magis e re mea foret ; sitque";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;coverchia Ierusalem col suo più alto punto . E quanto alla grandezza è profondo l ' Inferno quanto è il;semidiametro;della terra , e nella sua sboccatura , che è il cerchio attorno a Ierusalem , è altrettanto per diametro;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"; perciò che all ' arco , della sesta parte del cerchio , gli è sottesa una corda uguale al";semidiametro;. Ma volendo sapere la sua grandezza rispetto a tutto l ' aggregato dell ' acqua e della terra non;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;grandissima volta della terra nel cui colmo è Ierusalem , ed è grossa quanto è l ' ottava parte del;semidiametro;che sono miglia 405 15/22 . Avendo compresa così generalmente la sua figura è bene che venghiamo a distinguerlo nei;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;, dico che le prime sei sono uguali tra di loro , e ciascheduna è l ' ottava parte del;semidiametro;della terra che sono miglia 405 15/22 , e tanto è distante il limbo da la superficie della terra ,;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;dal Manetti uguali tra di loro , e all ' altre , ciò è ciascheduna l ' ottava parte del;semidiametro;", se non avesse osservato in Dante luoghi dai quali necessariamente si cava esse dovere essere disuguali ; ma perché";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"dimostrerà ; e se miglia 81 3/22 , è l ' ultima distanza , il restante sino ai 2/8 del";semidiametro;"della terra sarà la penultima , ciò è miglia 730 5/22 ; tanta dunque è la profondità del burrato essendo";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;si unisce , e la distanza del limbo dalla superficie della terra si pose esser l ' ottava parte del;semidiametro;, seguirà , per la proposizione preposta , che detta larghezza del limbo sia ristretta per l ' ottava parte;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;essa terminò la larghezza del secondo cerchio , il quale per essere lontano dalla superficie della terra per 2/8 del;semidiametro;, sciemata con la medesima proporzione la larghezza che su la superficie è miglia 100 , restò la larghezza del;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;ciò è la città , resta indiviso : e perché questo grado è lontano dalla superficie della terra 5/8 del;semidiametro;, sciemando con simil proporzione la larghezza che nella superficie della terra è miglia 300 , cavò la larghezza del;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;arenoso , acconciamente se gli convengono : e per essere questo grado lontano dalla superficie della terra per 6/8 del;semidiametro;, sciemando a tal proporzione le 300 miglia che aviamo in superficie , resteranno miglia 75 , delle quali 25;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"che dimostriamo prima quello che poco fa promettemmo ; ciò è che se Malebolge è nella sua maggior larghezza di";semidiametro;miglia 17 ? , come da Dante stesso si trae , devano necessariamente da Malebolge al centro esser miglia 81;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;da Malebolge al centro esser miglia 81 3/22 . È manifesto che alle 17 miglia e ? che ha per;semidiametro;"Malebolge nella sua maggior larghezza corrispondono nella superficie della terra miglia 700 ; ne sèguita dunque necessariamente per la preposta";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"che la distanza di Malebolge dal medesimo centro ; inoltre la distanza della superficie dal centro , ciò è il";semidiametro;"della terra è miglia 3245 5/11 , la cui quarantesima parte è di 81 3/22 ; la distanza dunque di";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;bolge e al pozzo , dico : che cavandosi da Dante come disopra dicemmo la larghezza del pozzo esser di;semidiametro;"un miglio ; la larghezza di quello spazio che resta tra l ' ultima bolgia e il pozzo esser ?";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;1 , nella superficie della terra importerà 40 : ma si è trovato che secondo la mente del Poeta il;semidiametro;"del pozzo è miglia 1 , questo dunque nella superficie della terra importa miglia 10 ; la distanza tra '";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;bolgia , con 10 per lo spazio tra la decima bolgia e il pozzo , e con 40 per il;semidiametro;del pozzo , fanno a punto miglia 700 , che è quello che ci restava da consumare sopra la superficie;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;di Lucifero , aremo la distanza ancora che è dall ' ombelico al mezzo del petto e per conseguenza il;semidiametro;della minore sferetta . Ma quanto alla grandezza di Lucifero aviamo ne ' citati versi esser tale che maggiore convenienza;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"manifesta ; e auta questa aremo la distanza dal mezzo del petto all ' ombelico ; e per conseguenza il";semidiametro;della minore sfera , e finalmente essa sfera , con la quale alle sfere rimanenti assegneremo le grandezze . Passiamo;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;petto braccia 500 , però che è la quarta parte di tutto ' l corpo , e tanto sarà il;semidiametro;della minore sferetta : e perché non è in Dante luogo dal quale si possino cavare le grandezze dell ';non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;una cinge l ' altra , non altramente che l ' un cielo l ' altro circondi , sarà il;semidiametro;della penultima braccia 1000 , quello della seconda 1500 , e finalmente la prima e maggiore arà per semidiametro braccia;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;il semidiametro della penultima braccia 1000 , quello della seconda 1500 , e finalmente la prima e maggiore arà per;semidiametro;braccia 2000 . Questo è quanto all ' universale esplicazione della figura , sito , e grandezza dell ' Inferno;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;circondato da sette circuiti di mura : è questo cerchio distante dalla superficie della terra l ' ottava parte del;semidiametro;, ciò è miglia 405 15/22 , ed è largo per traverso miglia 87 ? . Di questo cercatane la;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"; però che volendo il Vellutello che la profondità del suo Inferno non sia più che la decima parte del";semidiametro;della terra , se tale Inferno fosse una intera sfera , sarebbe una delle mille parti di tutto l ';non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;dal Manetti è figurato . Ma come raccolga il Vellutello la profondità del suo Inferno esser la decima parte del;semidiametro;dell ' aggregato , possiam comprendere , recandoci innanzi il componimento di tal sua fabbrica . E prima doviamo intendere;non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;"la valle di Malebolge , con le medesime misure assegnateli ancora dal Manetti ; talmente che la maggiore ha di";semidiametro;miglia 17 ? . Ma perché questa valle di Malebolge pende verso il mezzo , come da quei versi di;non_ev
